孙琪,0,1977.000000
张三,1,1000.000000
s34,1,0.000000
s33,1,0.000000
s5,1,0.000000
s2,1,0.000000
s32,1,0.000000
s35,1,0.000000
s3,1,0.000000
s4,1,0.000000
s26,1,0.000000
s19,1,0.000000
s21,1,0.000000
s17,1,0.000000
s28,1,0.000000
s10,1,0.000000
s11,1,0.000000
s16,1,0.000000
s29,1,0.000000
s20,1,0.000000
s27,1,0.000000
s18,1,0.000000
s8,1,0.000000
s1,1,0.000000
s6,1,0.000000
s39,1,0.000000
s30,1,0.000000
s37,1,0.000000
s7,1,0.000000
s9,1,0.000000
s36,1,0.000000
s31,1,0.000000
s38,1,0.000000
s22,1,0.000000
s25,1,0.000000
s13,1,0.000000
s14,1,0.000000
s40,1,0.000000
s15,1,0.000000
s12,1,0.000000
s24,1,0.000000
s23,1,0.000000
